x_opt: [5, 2, 6, 3, 0, 7, 1, 4], f_opt: 28, iterations: 24, remaining: 92
x_opt: [2, 7, 4, 3, 0, 5, 6, 1], f_opt: 28, iterations: 1, remaining: 91
x_opt: [4, 1, 3, 6, 2, 7, 5, 0], f_opt: 28, iterations: 2354, remaining: 90
x_opt: [5, 1, 7, 6, 3, 2, 4, 0], f_opt: 28, iterations: 1, remaining: 89
x_opt: [4, 6, 1, 5, 2, 0, 3, 7], f_opt: 28, iterations: 364, remaining: 88
x_opt: [7, 2, 0, 5, 4, 1, 3, 6], f_opt: 28, iterations: 1, remaining: 87
x_opt: [5, 2, 0, 6, 4, 7, 1, 3], f_opt: 28, iterations: 2408, remaining: 86
x_opt: [0, 1, 7, 2, 6, 5, 3, 4], f_opt: 28, iterations: 1, remaining: 85
x_opt: [5, 3, 0, 4, 7, 1, 6, 2], f_opt: 28, iterations: 59, remaining: 84
x_opt: [1, 3, 2, 5, 7, 4, 6, 0], f_opt: 28, iterations: 1, remaining: 83
x_opt: [4, 6, 0, 3, 1, 7, 5, 2], f_opt: 28, iterations: 3037, remaining: 82
x_opt: [2, 4, 6, 3, 5, 1, 0, 7], f_opt: 28, iterations: 1, remaining: 81
x_opt: [7, 2, 0, 5, 1, 4, 6, 3], f_opt: 28, iterations: 2092, remaining: 80
x_opt: [7, 3, 0, 2, 4, 1, 6, 5], f_opt: 28, iterations: 1, remaining: 79
x_opt: [3, 6, 4, 1, 5, 0, 2, 7], f_opt: 28, iterations: 21, remaining: 78
x_opt: [4, 3, 0, 2, 1, 5, 7, 6], f_opt: 28, iterations: 1, remaining: 77
x_opt: [2, 5, 1, 4, 7, 0, 6, 3], f_opt: 28, iterations: 160, remaining: 76
x_opt: [2, 7, 6, 3, 0, 1, 4, 5], f_opt: 28, iterations: 1, remaining: 75
x_opt: [6, 2, 7, 1, 4, 0, 5, 3], f_opt: 28, iterations: 38, remaining: 74
x_opt: [3, 5, 6, 4, 1, 0, 2, 7], f_opt: 28, iterations: 1, remaining: 73
x_opt: [4, 6, 1, 5, 2, 0, 7, 3], f_opt: 28, iterations: 29, remaining: 72
x_opt: [1, 5, 2, 3, 6, 7, 0, 4], f_opt: 28, iterations: 1, remaining: 71
x_opt: [3, 1, 7, 4, 6, 0, 2, 5], f_opt: 28, iterations: 211, remaining: 70
x_opt: [7, 3, 1, 4, 2, 5, 0, 6], f_opt: 28, iterations: 1, remaining: 69
x_opt: [1, 5, 0, 6, 3, 7, 2, 4], f_opt: 28, iterations: 1860, remaining: 68
x_opt: [1, 3, 4, 5, 2, 0, 6, 7], f_opt: 28, iterations: 1, remaining: 67
x_opt: [2, 6, 1, 7, 5, 3, 0, 4], f_opt: 28, iterations: 3063, remaining: 66
x_opt: [6, 2, 3, 7, 4, 1, 0, 5], f_opt: 28, iterations: 1, remaining: 65
x_opt: [2, 6, 1, 7, 4, 0, 3, 5], f_opt: 28, iterations: 57, remaining: 64
x_opt: [6, 5, 4, 2, 0, 1, 3, 7], f_opt: 28, iterations: 1, remaining: 63
x_opt: [4, 6, 1, 5, 2, 0, 3, 7], f_opt: 28, iterations: 16, remaining: 62
x_opt: [1, 4, 5, 6, 0, 2, 3, 7], f_opt: 28, iterations: 1, remaining: 62
x_opt: [5, 2, 6, 3, 0, 7, 1, 4], f_opt: 28, iterations: 3293, remaining: 61
x_opt: [1, 3, 2, 7, 4, 0, 6, 5], f_opt: 28, iterations: 1, remaining: 61
x_opt: [5, 7, 1, 3, 0, 6, 4, 2], f_opt: 28, iterations: 223, remaining: 60
x_opt: [4, 0, 2, 6, 5, 3, 7, 1], f_opt: 28, iterations: 1, remaining: 59
x_opt: [5, 3, 6, 0, 7, 1, 4, 2], f_opt: 28, iterations: 1086, remaining: 58
x_opt: [6, 4, 3, 7, 0, 1, 5, 2], f_opt: 28, iterations: 1, remaining: 57
x_opt: [3, 1, 4, 7, 5, 0, 2, 6], f_opt: 28, iterations: 45, remaining: 56
x_opt: [2, 6, 7, 1, 5, 0, 4, 3], f_opt: 28, iterations: 1, remaining: 55
x_opt: [2, 5, 1, 4, 7, 0, 6, 3], f_opt: 28, iterations: 1, remaining: 54
x_opt: [6, 5, 2, 7, 0, 1, 3, 4], f_opt: 28, iterations: 1, remaining: 54
x_opt: [3, 0, 4, 7, 1, 6, 2, 5], f_opt: 28, iterations: 321, remaining: 53
x_opt: [0, 7, 3, 1, 4, 2, 6, 5], f_opt: 28, iterations: 1, remaining: 52
